SiteName,SiteCode,Classification,OC,Region,Province,DeviceName,DeviceIP,EventInDateTime,EventOutDateTime,AlarmDescription,RawValue
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,503,151,100.00","2,021,070,503,151,600.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,323,151,300.00","2,021,070,323,151,800.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,411,151,300.00","2,021,070,411,151,800.00",FWD Power,0
ALIWAL NORTH,C37,Bronze,Middleburg,Eastern Region,Eastern Cape,Aliwal North - Tx Mux1 CH 21,010.128.040.060,"2,021,070,201,002,200.00","2,021,070,201,002,700.00",FWD Power,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,812,202,400.00","2,021,070,812,235,200.00",SAFM Left Audio Status,2
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,812,201,100.00","2,021,070,812,235,200.00",SAFM Right Audio Status,2
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DEVA FM Receiver,010.128.000.157,"2,021,070,812,202,400.00","2,021,070,812,240,500.00",Safm Mpx Status,2
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - Primary Edge Mux1,010.128.000.025,"2,021,070,216,241,100.00","2,021,070,216,281,200.00",ASI Net bitrate IN1,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - Primary Edge Mux1,010.128.000.025,"2,021,070,216,241,100.00","2,021,070,216,281,200.00",ASI Raw bitrate IN2,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - Primary Edge Mux1,010.128.000.025,"2,021,070,216,241,100.00","2,021,070,216,281,200.00",ASI1 T2MI Presence,2
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - Primary Edge Mux1,010.128.000.025,"2,021,070,216,221,100.00","2,021,070,216,261,100.00",ASI Net bitrate IN2,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - Primary Edge Mux1,010.128.000.025,"2,021,070,216,241,100.00","2,021,070,216,281,200.00",ASI Raw bitrate IN1,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - Primary Edge Mux1,010.128.000.025,"2,021,070,210,071,800.00","2,021,070,210,111,900.00",ASI Net bitrate IN1,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - Primary Edge Mux1,010.128.000.025,"2,021,070,210,071,800.00","2,021,070,210,111,900.00",ASI Raw bitrate IN2,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - Primary Edge Mux1,010.128.000.025,"2,021,070,210,071,800.00","2,021,070,210,111,900.00",ASI1 T2MI Presence,2
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - Primary Edge Mux1,010.128.000.025,"2,021,070,210,051,800.00","2,021,070,210,111,900.00",ASI Net bitrate IN2,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - Primary Edge Mux1,010.128.000.025,"2,021,070,210,071,800.00","2,021,070,210,111,900.00",ASI Raw bitrate IN1,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DSE892 Gen 1,010.128.000.107,"2,021,070,210,043,500.00","2,021,070,215,511,000.00",Mains - Voltage L3-L1,0
JOHANNESBURG,T97,Platinum,Johannesburg,Northern Region,Gauteng,Johannesburg - DSE892 Gen 1,010.128.000.107,"2,021,070,210,043,500.00","2,021,070,215,512,100.00",Mains - Voltage L2,0
